s-gold-supplier-year-icon,unit,title,title href,icon-link,icon-link href,cd href,vr,vr href,ui2-tag href,ui2-tag-body,ui2-tag href 2,ui2-tag-body 2,ui2-tag href 3,ui2-tag-body 3,img-thumb href,product,product 2,product 3,product 4,img-thumb href 2,product 5,product 6,product 7,product 8,img-thumb href 3,product 9,product 10,product 11,name,seller-star-level__container href,name 2,value,name 3,ellipsis,name 4,ellipsis 2,name 5,value 3,ellipsis 3,ellipsis 4,ellipsis 5,lab,lab 2,num,button href,alitalk-unit
12,YRS,"Hubei YJT Technology Co., Ltd.",http://hnc.en.alibaba.com/company_profile.html#top-nav-bar,Supplier,https://fuwu.alibaba.com/page/verifiedsuppliers.htm,http://hnc.en.alibaba.com/contactinfo.html,Video,http://hnc.en.alibaba.com/videoshow.html?d_type=cv,https://activity.alibaba.com/sale/suppliertags.html,customized services provided,https://activity.alibaba.com/sale/suppliertags.html,16 years’experience,https://activity.alibaba.com/sale/suppliertags.html,"iso13485,iso9001 standards met",https://www.alibaba.com/product-detail/5L-Home-Use-Medical-Portable-font_1600076916704.html,5L Home Use Medical Portable  Generator Price factory Sale Portable,Oxygen,Oxygen,Concentrator,https://www.alibaba.com/product-detail/-font-b-Oxygen-b-font_1600086256501.html,Machine 1-5L/min Adjustable Portable  Machine Nebulizer Household Easy Take Handle Without Battery,Oxygen,Concentrator,Oxygen,https://www.alibaba.com/product-detail/1-10L-min-font-b-Oxygen_1600095941067.html,1-10L/min   Generator 24 Hours No Battery Air Purifier With Handle Household Silence AC110V/220V,Oxygen,Concentrator,Supplier Index:,https://activity.alibaba.com/helpcenter/SOPI.html,Main Products:,"Semiconductor Laser Therapy Device,Millimeter Wave Therapy Device,High Potential Therapy Device, Machine,LED Therapy Device",Country/Region:,China,Total Revenue:,US$10 Million - US$50 Million,Top 3 Markets:,", 
                                                                                                                                ,",Domestic Market 86%,North America 3%,Eastern Asia 3%,Transactions(6 months),113,"$1,200,000+",https://message.alibaba.com/msgsend/contact.htm?action=contact_action&appForm=s_en&chkCompanyIds=200829071&chkCompanyIds_f=IDX1BjmO1j5CDM8CB5VnOBCcOTZCkSsOoPSJhCJYDEpLcdkT5X1d8v3vBNg0THg4SrpF&tracelog=contactOrg,Chat Now!
5,YRS,"Aviche Shandong Medical Technology Co., Ltd.",http://aviche-hhe.en.alibaba.com/company_profile.html#top-nav-bar,Supplier,https://fuwu.alibaba.com/page/verifiedsuppliers.htm,http://aviche-hhe.en.alibaba.com/contactinfo.html,Video,http://aviche-hhe.en.alibaba.com/videoshow.html?d_type=cv,https://activity.alibaba.com/sale/suppliertags.html,Patents Awarded (16),https://activity.alibaba.com/sale/suppliertags.html,ODM Services Available,https://activity.alibaba.com/sale/suppliertags.html,"Total Floorspace (56,935㎡)",https://www.alibaba.com/product-detail/AVICHE-1-5L-low-noise-o2_62116133027.html,"AVICHE 1-5L low noise o2  medical   with nebulizer for hospital,home",concentrator,oxygen,concentrator,https://www.alibaba.com/product-detail/Manufacturer-Directly-Hot-Selling-Small-Portable_60841476610.html,Manufacturer Directly Hot Selling Small Portable Smart Control Dog   for Incubator,Oxygen,Concentrator,oxygen,https://www.alibaba.com/product-detail/AVICHE-A35-1-5L-font-b_60720140726.html,AVICHE A35 1-5L  generator  machine home electric   for sale,concentrator,oxygen,Supplier Index:,https://activity.alibaba.com/helpcenter/SOPI.html,Main Products:,"Air Purifier, ,Blood Pressure Monitor,Medical Compressor Monitor,Patient Monitor",Country/Region:,China,Total Revenue:,US$10 Million - US$50 Million,Top 3 Markets:,", 
                                                                                                                                ,",Domestic Market 54%,Western Europe 15%,North America 8%,Transactions(6 months),69,"$350,000+",https://message.alibaba.com/msgsend/contact.htm?action=contact_action&appForm=s_en&chkCompanyIds=240741955&chkCompanyIds_f=IDX1PG3taknnm-CAd5R1oEaAdzBfsDRcC-HRnKby_tA4Ih0FwcFgNaLtP8goUTKfUb9q&tracelog=contactOrg,Chat Now!
1,YR,"Guangzhou Hetian Medical Equipment Co., Ltd.",http://hetian888.en.alibaba.com/company_profile.html#top-nav-bar,,,http://hetian888.en.alibaba.com/contactinfo.html,,,,,,,,,https://www.alibaba.com/product-detail/Oxygenerator-Digital-font-b-Oxygen-b_1600289126405.html,Oxygenerator Digital - High Quality Home  Generator Industrial  Generator,Oxygen,concentrator,Oxygen,https://www.alibaba.com/product-detail/DEDAKJ-DE-2A-9L-font-b_1600289078527.html,DEDAKJ DE-2A 9L  making machine oxygenerator  dedakj  making machine portable price,Oxygen,Oxygen,oxygen,,,Oxygen,,Supplier Index:,https://activity.alibaba.com/helpcenter/SOPI.html,Main Products:,",Laser treatment instrument,Vaccine transport box,sphygmomanometer,Atomizer",Country/Region:,China,Total Revenue:,US$5 Million - US$10 Million,Top 3 Markets:,", 
                                                                                                                                ,",Eastern Asia 7%,Northern Europe 6%,Domestic Market 6%,,,,https://message.alibaba.com/msgsend/contact.htm?action=contact_action&appForm=s_en&chkCompanyIds=258873071&chkCompanyIds_f=IDX1G0W9M-Z3VRPf8mQlMEIAcP-KX88jifUQOjqisN8GWq9cvUKRgZJ8vm3L-ZAInIe1&tracelog=contactOrg,Leave Messages
8,YRS,"Nanjing Careland Medical Equipment Co., Ltd.",http://carelandmedsupply.en.alibaba.com/company_profile.html#top-nav-bar,,,http://carelandmedsupply.en.alibaba.com/contactinfo.html,,,,,,,,,https://www.alibaba.com/product-detail/portable-Iron-case-15L-20L-30L_1600078825135.html,portable Iron case 15L 20L 30L 40L 60L high flow   medical use industrial use veterinary use,oxygen,concentrator,Oxygen,https://www.alibaba.com/product-detail/10l-super-silent-medical-portable-font_1600233034900.html,10l super silent medical portable   with 15L flow meter,Concentrator,oxygen,concentrator,https://www.alibaba.com/product-detail/110V-220V-50hz-60HZ-Portable-super_1600317650579.html,110V 220V 50hz 60HZ Portable super silent medical - 5l with 10L flow meter,,,Supplier Index:,https://activity.alibaba.com/helpcenter/SOPI.html,Main Products:,"X-Ray Machine,Ultrasound machine,Anaesthesia machine,Ventilator,ambulance vehicle",Country/Region:,China,Total Revenue:,US$50 Million - US$100 Million,Top 3 Markets:,", 
                                                                                                                                ,",Northern Europe 10%,Africa 10%,Mid East 10%,Transactions(6 months),18,"$30,000+",https://message.alibaba.com/msgsend/contact.htm?action=contact_action&appForm=s_en&chkCompanyIds=232148280&chkCompanyIds_f=IDX1tQELSZc6UczCl23K7gFTQ1dRaklzuZ6djhSx9V1T0dkivfx6-HEYZoEDdCXAsAWD&tracelog=contactOrg,Chat Now!
2,YRS,"Hochey Medical Co., Ltd.",http://hocheymed.en.alibaba.com/company_profile.html#top-nav-bar,Supplier,https://fuwu.alibaba.com/page/verifiedsuppliers.htm,http://hocheymed.en.alibaba.com/contactinfo.html,Video,http://hocheymed.en.alibaba.com/videoshow.html?d_type=cv,https://activity.alibaba.com/sale/suppliertags.html,Supplier Assessment Procedures,https://activity.alibaba.com/sale/suppliertags.html,Company Industry Experience(1 Year),https://activity.alibaba.com/sale/suppliertags.html,Centralized Procurement Available,https://www.alibaba.com/product-detail/Hochey-Medical-Physical-Therapy-Equipment-Imported_1600128801438.html,Hochey Medical Physical Therapy Equipment Imported Compressor 3L/5L/8L/10L High Flow,Oxygen,Concentrator,Oxygen,https://www.alibaba.com/product-detail/Medical-Equipment-10-Liter-font-b_1600153424540.html,Medical Equipment 10 Liter   for Sale Free Spare Parts Class II 2 Years,Concentrator,Oxygen,Concentrator,https://www.alibaba.com/product-detail/Directly-Deliverying-No-Need-Customs-font_1600074496039.html,Directly Deliverying No Need Customs   Portable Medical Machine Prices 5L or 10L,,,Supplier Index:,https://activity.alibaba.com/helpcenter/SOPI.html,Main Products:,Hospital Bed/Ceiling Pendant/Emergency Trolley/Operating Lamp/Operation Table,Country/Region:,China,Total Revenue:,US$5 Million - US$10 Million,Top 3 Markets:,", 
                                                                                                                                ,",Africa 20%,Eastern Asia 10%,South Asia 10%,Transactions(6 months),83,"$550,000+",https://message.alibaba.com/msgsend/contact.htm?action=contact_action&appForm=s_en&chkCompanyIds=248141232&chkCompanyIds_f=IDX1i8qBRgUcVFHfXdn9dEO6QbZXTxklA2mq0WEBlumwSF8y2gh0XrhpQCyMztdBkBwG&tracelog=contactOrg,Chat Now!
9,YRS,"Zhangjiagang Bestran Technology Co., Ltd.",http://bestrantech.en.alibaba.com/company_profile.html#top-nav-bar,Supplier,https://fuwu.alibaba.com/page/verifiedsuppliers.htm,http://bestrantech.en.alibaba.com/contactinfo.html,Video,http://bestrantech.en.alibaba.com/videoshow.html?d_type=cv,https://activity.alibaba.com/sale/suppliertags.html,Total Trading Staff (7),https://activity.alibaba.com/sale/suppliertags.html,Total Floorspace (236㎡),https://activity.alibaba.com/sale/suppliertags.html,Company Industry Experience(8 Year),https://www.alibaba.com/product-detail/BT-OC06-fast-delivery-factory-portable_1600232537801.html,BT-OC06 fast delivery factory portable medical equipment therapy generator 5L 8L 10L liters,oxygen,concentrator,oxygen,https://www.alibaba.com/product-detail/BT-OC09-Medical-Equipment-patient-therapy_1600300774318.html,BT-OC09 Medical Equipment patient therapy portable 5/8/10 liters hospital medical  generator,concentrator,oxygen,concentrator,https://www.alibaba.com/product-detail/BT-OC06-reliable-quality-patient-therapy_1600232549987.html,BT-OC06 reliable quality patient therapy portable 5/8/10 liters hospital medical  generator,,,Supplier Index:,https://activity.alibaba.com/helpcenter/SOPI.html,Main Products:,"Hospital Bed/ Stretcher/ Medical Trolley/ Medical Chair,Operating Lamp/ Operating Table/ Infant Warmer/ Infant Incubator",Country/Region:,China,Total Revenue:,US$1 Million - US$2.5 Million,Top 3 Markets:,", 
                                                                                                                                ,",South America 35%,Southeast Asia 25%,Central America 12%,Transactions(6 months),70,"$300,000+",https://message.alibaba.com/msgsend/contact.htm?action=contact_action&appForm=s_en&chkCompanyIds=214831711&chkCompanyIds_f=IDX1Ei0GRGB9iUwEng-miYiqcQAUU5Q5c7pu-uA-ECPefl6rFu6S-zRQj6U6W_inB3Zi&tracelog=contactOrg,Chat Now!
4,YRS,"Guangzhou Ozmus Electronic Technology Co., Ltd.",http://ozmus.en.alibaba.com/company_profile.html#top-nav-bar,,,http://ozmus.en.alibaba.com/contactinfo.html,,,,,,,,,https://www.alibaba.com/product-detail/Good-price-CE-New-Mode-5LPM_1600074414606.html,Good price CE New Mode 5LPM Professional portable medical   with nebulizer  generator in stock,oxygen,concentrator,oxygen,https://www.alibaba.com/product-detail/CE-5L-class-II-hospital-certificate_1600221799807.html,CE 5L class II hospital certificate 5 lpm medical PSA ISO,oxygen,concentrator,oxygen,https://www.alibaba.com/product-detail/CE-5L-96-purity-medical-font_1600207785864.html,CE 5L 96% purity medical   with atomizer electric  maker portable O2 tank,concentrator,oxygen,Supplier Index:,https://activity.alibaba.com/helpcenter/SOPI.html,Main Products:,",body thermometers,gauze mask",Country/Region:,China,Top 3 Markets:,Southeast Asia 50%,,", 
                                                                                                                                ,",Mid East 35%,Africa 5%,,Transactions(6 months),51,"$80,000+",https://message.alibaba.com/msgsend/contact.htm?action=contact_action&appForm=s_en&chkCompanyIds=237909698&chkCompanyIds_f=IDX1jDnLNDPu2TO_37DEJnz56aLMCbzTWDWogGMrVqP5ak7xvQJmoFp_6ywRyRu-suRq&tracelog=contactOrg,Leave Messages
9,YRS,"Hubei Yjt Technology Co., Ltd.",http://hnclaser.en.alibaba.com/company_profile.html#top-nav-bar,Supplier,https://fuwu.alibaba.com/page/verifiedsuppliers.htm,http://hnclaser.en.alibaba.com/contactinfo.html,Video,http://hnclaser.en.alibaba.com/videoshow.html?d_type=cv,https://activity.alibaba.com/sale/suppliertags.html,suppliers undergo an assessment procedure,https://activity.alibaba.com/sale/suppliertags.html,ODM services provided,https://activity.alibaba.com/sale/suppliertags.html,"iso13485,iso9001 audited",https://www.alibaba.com/product-detail/YJT-5L-font-b-oxygen-b_1600147202321.html,YJT 5L -  generator portable for home and hospital use,oxygen,concentrator,oxygen,https://www.alibaba.com/product-detail/10L-font-b-Oxygen-b-font_1600143920479.html,10L     Price Fashion Portable   Mini Generator For home use,Oxygen,Concentrator,Oxygen,https://www.alibaba.com/product-detail/-font-b-Oxygen-b-font_1600143956092.html,Generator Price Newest Medical Portable   With 10 Liters  Capacity,Concentrator,Oxygen,Supplier Index:,https://activity.alibaba.com/helpcenter/SOPI.html,Main Products:,"Semiconductor Laser Therapy Device,Millimeter Wave Therapy Device,HighPotential Therapy Device, Machine,LED Therapy Device",Country/Region:,China,Total Revenue:,US$10 Million - US$50 Million,Top 3 Markets:,", 
                                                                                                                                ,",Domestic Market 86%,North America 3%,Southeast Asia 3%,Transactions(6 months),77,"$280,000+",https://message.alibaba.com/msgsend/contact.htm?action=contact_action&appForm=s_en&chkCompanyIds=218368800&chkCompanyIds_f=IDX18-dB_BWuL43t4h_zCl30AK45nika-urey0cw-ZYdTJszrTL8OSKrHPvr79CoxhoN&tracelog=contactOrg,Chat Now!
2,YRS,"Shenzhen City Kalirai Technology Co., Ltd.",http://kalirai.en.alibaba.com/company_profile.html#top-nav-bar,Supplier,https://fuwu.alibaba.com/page/verifiedsuppliers.htm,http://kalirai.en.alibaba.com/contactinfo.html,Video,http://kalirai.en.alibaba.com/videoshow.html?d_type=cv,https://activity.alibaba.com/sale/suppliertags.html,Socially Responsible,https://activity.alibaba.com/sale/suppliertags.html,Total Trading Staff (20),https://activity.alibaba.com/sale/suppliertags.html,Test Machines (1),https://www.alibaba.com/product-detail/Hot-sale-high-quality-5L-10L_1600207330870.html,Hot sale high quality 5L 10L medical   for medical and home use,oxygen,concentrator,oxygen,https://www.alibaba.com/product-detail/PSA-technology-safe-and-health-1_1600277573185.html,"PSA technology,safe and health 1-7L Adjust Flow 93% High Purity Electric portable",concentrator,Oxygen,concentrator,https://www.alibaba.com/product-detail/Portable-font-b-Oxygen-b-font_1600275520655.html,Portable - Machine 5L 10L China Medical   96%,Oxygen,Concentrator,Supplier Index:,https://activity.alibaba.com/helpcenter/SOPI.html,Main Products:,"Medical Infrared Thermometer, ,Nebulizer,Pulse Oximeter,Soap Dispenser",Country/Region:,China,Total Revenue:,US$10 Million - US$50 Million,Top 3 Markets:,", 
                                                                                                                                ,",South America 20%,Southeast Asia 12%,Southeast Asia 12%,Transactions(6 months),66,"$90,000+",https://message.alibaba.com/msgsend/contact.htm?action=contact_action&appForm=s_en&chkCompanyIds=239324904&chkCompanyIds_f=IDX1FcpdSGJiq4M_ijKDLJl2JjPoDO2yoyui0wTWFAACxWDqhzBW3PCNczvggAYhfsx_&tracelog=contactOrg,Chat Now!
12,YRS,"Xiamen Weiyou Intelligent Technology Co., Ltd.",http://weiuit.en.alibaba.com/company_profile.html#top-nav-bar,Supplier,https://fuwu.alibaba.com/page/verifiedsuppliers.htm,http://weiuit.en.alibaba.com/contactinfo.html,Video,http://weiuit.en.alibaba.com/videoshow.html?d_type=cv,https://activity.alibaba.com/sale/suppliertags.html,Global Export Expertise,https://activity.alibaba.com/sale/suppliertags.html,Full Customization,https://activity.alibaba.com/sale/suppliertags.html,Company Industry Experience(11 Year),https://www.alibaba.com/product-detail/Medical-health-care-font-b-oxygen_1600305560455.html,Medical health care   for patient,oxygen,concentrator,oxygen,https://www.alibaba.com/product-detail/health-Medical-device-hand-finger-malfunctional_1600275502108.html,health&Medical device hand finger malfunctional rehabilitation robtic glove diabetes need it as well as -,concentrator,,,,,,,Supplier Index:,https://activity.alibaba.com/helpcenter/SOPI.html,Main Products:,"Air Compression Therapy Device And Compression Boots,Hand Finger Rehabilitation Trainning Device,Hospital Patient Transfer Bed,Nursing Bed,Electricity Muscle Stimulator",Country/Region:,China,Total Revenue:,US$5 Million - US$10 Million,Top 3 Markets:,", 
                                                                                                                                ,",Western Europe 35%,North America 15%,Northern Europe 10%,Transactions(6 months),98,"$180,000+",https://message.alibaba.com/msgsend/contact.htm?action=contact_action&appForm=s_en&chkCompanyIds=200786157&chkCompanyIds_f=IDX10EbdEE1kkYeAqU8xdCyHzj42y2pJpLXBaJvwmJR07BgquWN-pQKBWDYLfiAW0mIy&tracelog=contactOrg,Chat Now!
